E,E_actual,bits_lower,bits_upper,f_lower,f_upper,float_lower_interval_cap,float_upper_interval_cap,num_floats_in_interval,k,e,regime_length,exponent_bits_length,fraction_bits,p_lower,p_upper,posit_lower_interval_cap,posit_upper_interval_cap,num_posits_in_interval
1,-14,1536,1791,6.104e-5,0.000122,0000010000000000,0000011111111111,1024,-4,2,5,2,8,Posit16(6.1035156e-5),Posit16(0.000121831894),0000011000000000,0000011011111111,256
2,-13,1792,2047,0.0001221,0.000244,0000100000000000,0000101111111111,1024,-4,3,5,2,8,Posit16(0.00012207031),Posit16(0.00024366379),0000011100000000,0000011111111111,256
3,-12,2048,2559,0.0002441,0.000488,0000110000000000,0000111111111111,1024,-3,0,4,2,9,Posit16(0.00024414062),Posit16(0.0004878044),0000100000000000,0000100111111111,512
4,-11,2560,3071,0.0004883,0.000976,0001000000000000,0001001111111111,1024,-3,1,4,2,9,Posit16(0.00048828125),Posit16(0.0009756088),0000101000000000,0000101111111111,512
5,-10,3072,3583,0.000977,0.001952,0001010000000000,0001011111111111,1024,-3,2,4,2,9,Posit16(0.0009765625),Posit16(0.0019512177),0000110000000000,0000110111111111,512
6,-9,3584,4095,0.001953,0.003904,0001100000000000,0001101111111111,1024,-3,3,4,2,9,Posit16(0.001953125),Posit16(0.0039024353),0000111000000000,0000111111111111,512
7,-8,4096,5119,0.003906,0.00781,0001110000000000,0001111111111111,1024,-2,0,3,2,10,Posit16(0.00390625),Posit16(0.0078086853),0001000000000000,0001001111111111,1024
8,-7,5120,6143,0.007812,0.01562,0010000000000000,0010001111111111,1024,-2,1,3,2,10,Posit16(0.0078125),Posit16(0.015617371),0001010000000000,0001011111111111,1024
9,-6,6144,7167,0.01563,0.03123,0010010000000000,0010011111111111,1024,-2,2,3,2,10,Posit16(0.015625),Posit16(0.031234741),0001100000000000,0001101111111111,1024
10,-5,7168,8191,0.03125,0.06247,0010100000000000,0010101111111111,1024,-2,3,3,2,10,Posit16(0.03125),Posit16(0.062469482),0001110000000000,0001111111111111,1024
11,-4,8192,10239,0.0625,0.12494,0010110000000000,0010111111111111,1024,-1,0,2,2,11,Posit16(0.0625),Posit16(0.12496948),0010000000000000,0010011111111111,2048
12,-3,10240,12287,0.125,0.2499,0011000000000000,0011001111111111,1024,-1,1,2,2,11,Posit16(0.125),Posit16(0.24993896),0010100000000000,0010111111111111,2048
13,-2,12288,14335,0.25,0.4998,0011010000000000,0011011111111111,1024,-1,2,2,2,11,Posit16(0.25),Posit16(0.49987793),0011000000000000,0011011111111111,2048
14,-1,14336,16383,0.5,0.9995,0011100000000000,0011101111111111,1024,-1,3,2,2,11,Posit16(0.5),Posit16(0.99975586),0011100000000000,0011111111111111,2048
15,0,16384,18431,1.0,1.999,0011110000000000,0011111111111111,1024,0,0,2,2,11,Posit16(1.0),Posit16(1.9995117),0100000000000000,0100011111111111,2048
16,1,18432,20479,2.0,3.998,0100000000000000,0100001111111111,1024,0,1,2,2,11,Posit16(2.0),Posit16(3.9990234),0100100000000000,0100111111111111,2048
17,2,20480,22527,4.0,7.996,0100010000000000,0100011111111111,1024,0,2,2,2,11,Posit16(4.0),Posit16(7.998047),0101000000000000,0101011111111111,2048
18,3,22528,24575,8.0,15.99,0100100000000000,0100101111111111,1024,0,3,2,2,11,Posit16(8.0),Posit16(15.996094),0101100000000000,0101111111111111,2048
19,4,24576,25599,16.0,31.98,0100110000000000,0100111111111111,1024,1,0,3,2,10,Posit16(16.0),Posit16(31.984375),0110000000000000,0110001111111111,1024
20,5,25600,26623,32.0,63.97,0101000000000000,0101001111111111,1024,1,1,3,2,10,Posit16(32.0),Posit16(63.96875),0110010000000000,0110011111111111,1024
21,6,26624,27647,64.0,127.94,0101010000000000,0101011111111111,1024,1,2,3,2,10,Posit16(64.0),Posit16(127.9375),0110100000000000,0110101111111111,1024
22,7,27648,28671,128.0,255.9,0101100000000000,0101101111111111,1024,1,3,3,2,10,Posit16(128.0),Posit16(255.875),0110110000000000,0110111111111111,1024
23,8,28672,29183,256.0,511.8,0101110000000000,0101111111111111,1024,2,0,4,2,9,Posit16(256.0),Posit16(511.5),0111000000000000,0111000111111111,512
24,9,29184,29695,512.0,1.0235e3,0110000000000000,0110001111111111,1024,2,1,4,2,9,Posit16(512.0),Posit16(1023.0),0111001000000000,0111001111111111,512
25,10,29696,30207,1.024e3,2.047e3,0110010000000000,0110011111111111,1024,2,2,4,2,9,Posit16(1024.0),Posit16(2046.0),0111010000000000,0111010111111111,512
26,11,30208,30719,2.048e3,4.094e3,0110100000000000,0110101111111111,1024,2,3,4,2,9,Posit16(2048.0),Posit16(4092.0),0111011000000000,0111011111111111,512
27,12,30720,30975,4.096e3,8.188e3,0110110000000000,0110111111111111,1024,3,0,5,2,8,Posit16(4096.0),Posit16(8176.0),0111100000000000,0111100011111111,256
28,13,30976,31231,8.19e3,1.6376e4,0111000000000000,0111001111111111,1024,3,1,5,2,8,Posit16(8192.0),Posit16(16352.0),0111100100000000,0111100111111111,256
29,14,31232,31487,1.638e4,3.275e4,0111010000000000,0111011111111111,1024,3,2,5,2,8,Posit16(16384.0),Posit16(32704.0),0111101000000000,0111101011111111,256
30,15,31488,31743,3.277e4,6.55e4,0111100000000000,0111101111111111,1024,3,3,5,2,8,Posit16(32768.0),Posit16(65408.0),0111101100000000,0111101111111111,256
