E,E_actual,bits_lower,bits_upper,f_lower,f_upper,float_lower_interval_cap,float_upper_interval_cap,num_floats_in_interval,k,e,regime_length,exponent_bits_length,fraction_bits,p_lower,p_upper,posit_lower_interval_cap,posit_upper_interval_cap,num_posits_in_interval
1,-126,4294967295,4294967295,-2.3509886e-38,-1.1754944e-38,10000000100000000000000000000000,10000000111111111111111111111111,8388608,-30,0,31,0,0,Posit32(-7.52316384526264e-37),Posit32(-7.52316384526264e-37),11111111111111111111111111111111,11111111111111111111111111111111,1
2,-125,4294967295,4294967295,-4.701977e-38,-2.3509887e-38,10000001000000000000000000000000,10000001011111111111111111111111,8388608,-30,0,31,0,0,Posit32(-7.52316384526264e-37),Posit32(-7.52316384526264e-37),11111111111111111111111111111111,11111111111111111111111111111111,1
3,-124,4294967295,4294967295,-9.403954e-38,-4.7019774e-38,10000001100000000000000000000000,10000001111111111111111111111111,8388608,-30,0,31,0,0,Posit32(-7.52316384526264e-37),Posit32(-7.52316384526264e-37),11111111111111111111111111111111,11111111111111111111111111111111,1
4,-123,4294967295,4294967295,-1.8807908e-37,-9.403955e-38,10000010000000000000000000000000,10000010011111111111111111111111,8388608,-30,0,31,0,0,Posit32(-7.52316384526264e-37),Posit32(-7.52316384526264e-37),11111111111111111111111111111111,11111111111111111111111111111111,1
5,-122,4294967295,4294967295,-3.7615817e-37,-1.880791e-37,10000010100000000000000000000000,10000010111111111111111111111111,8388608,-30,0,31,0,0,Posit32(-7.52316384526264e-37),Posit32(-7.52316384526264e-37),11111111111111111111111111111111,11111111111111111111111111111111,1
6,-121,4294967295,4294967295,-7.5231634e-37,-3.761582e-37,10000011000000000000000000000000,10000011011111111111111111111111,8388608,-30,0,31,0,0,Posit32(-7.52316384526264e-37),Posit32(-7.52316384526264e-37),11111111111111111111111111111111,11111111111111111111111111111111,1
7,-120,4294967295,4294967295,-1.5046327e-36,-7.523164e-37,10000011100000000000000000000000,10000011111111111111111111111111,8388608,-30,0,31,0,0,Posit32(-7.52316384526264e-37),Posit32(-7.52316384526264e-37),11111111111111111111111111111111,11111111111111111111111111111111,1
8,-119,4294967295,4294967295,-3.0092654e-36,-1.5046328e-36,10000100000000000000000000000000,10000100011111111111111111111111,8388608,-30,0,31,0,0,Posit32(-7.52316384526264e-37),Posit32(-7.52316384526264e-37),11111111111111111111111111111111,11111111111111111111111111111111,1
9,-118,4294967295,4294967295,-6.0185307e-36,-3.0092655e-36,10000100100000000000000000000000,10000100111111111111111111111111,8388608,-30,0,31,0,0,Posit32(-7.52316384526264e-37),Posit32(-7.52316384526264e-37),11111111111111111111111111111111,11111111111111111111111111111111,1
10,-117,4294967294,4294967294,-1.20370614e-35,-6.018531e-36,10000101000000000000000000000000,10000101011111111111111111111111,8388608,-29,0,30,1,0,Posit32(-1.2037062152420224e-35),Posit32(-1.2037062152420224e-35),11111111111111111111111111111110,11111111111111111111111111111110,1
11,-116,4294967294,4294967294,-2.4074123e-35,-1.2037062e-35,10000101100000000000000000000000,10000101111111111111111111111111,8388608,-29,0,30,1,0,Posit32(-1.2037062152420224e-35),Posit32(-1.2037062152420224e-35),11111111111111111111111111111110,11111111111111111111111111111110,1
12,-115,4294967293,4294967293,-4.8148246e-35,-2.4074124e-35,10000110000000000000000000000000,10000110011111111111111111111111,8388608,-29,1,30,1,0,Posit32(-4.81482486096809e-35),Posit32(-4.81482486096809e-35),11111111111111111111111111111101,11111111111111111111111111111101,1
13,-114,4294967293,4294967293,-9.629649e-35,-4.814825e-35,10000110100000000000000000000000,10000110111111111111111111111111,8388608,-29,1,30,1,0,Posit32(-4.81482486096809e-35),Posit32(-4.81482486096809e-35),11111111111111111111111111111101,11111111111111111111111111111101,1
14,-113,4294967292,4294967292,-1.9259298e-34,-9.62965e-35,10000111000000000000000000000000,10000111011111111111111111111111,8388608,-28,0,29,2,0,Posit32(-1.925929944387236e-34),Posit32(-1.925929944387236e-34),11111111111111111111111111111100,11111111111111111111111111111100,1
15,-112,4294967292,4294967292,-3.8518597e-34,-1.92593e-34,10000111100000000000000000000000,10000111111111111111111111111111,8388608,-28,0,29,2,0,Posit32(-1.925929944387236e-34),Posit32(-1.925929944387236e-34),11111111111111111111111111111100,11111111111111111111111111111100,1
16,-111,4294967291,4294967291,-7.7037193e-34,-3.85186e-34,10001000000000000000000000000000,10001000011111111111111111111111,8388608,-28,1,29,2,0,Posit32(-3.851859888774472e-34),Posit32(-3.851859888774472e-34),11111111111111111111111111111011,11111111111111111111111111111011,1
